ts_ns,mark_price,equity,total_pnl,realized_pnl,unrealized_pnl,cash,position_lots
1722837600503323000,68870.5,0,0,0,0,0,0
1722837600656855000,68870.5,0,0,0,0,0,0
1722837600656856000,68870.5,0,0,0,0,0,0
1722837600680090000,68870.5,0,0,0,0,0,0
1722837600680093000,68870.5,0,0,0,0,0,0
1722837600681617000,68870.5,1.5,1.5,0,1.5,-68869,1
1722837600681625000,68870.5,1.5,1.5,0,1.5,-68869,1
