ts_ns,order_id,strategy_id,side,limit_price_ticks,fill_price_ticks,quantity_lots,liquidity_role,fee
1722837600687724000,3,1,buy,68851,68851,1,maker,0
1722837600888581000,5,1,buy,68869,68869,1,maker,0
1722837815472949000,1471,1,sell,68127,68127,1,maker,0
